celltype	pvalue	q	trait	discovery	z
luminal epithelial cell of mammary gland	0.002706675739517	0.0072178019720454	UKB_460K.blood_PLATELET_COUNT	True	2.7813489545249572
type I pneumocyte	0.0070746427527627	0.0184555897898158	UKB_460K.blood_PLATELET_COUNT	True	2.4534508983789665
secretory cell	0.010919022694818	0.0278783558165566	UKB_460K.blood_PLATELET_COUNT	True	2.293173026964122
keratinocyte stem cell	0.0125871108812722	0.0314677772031804	UKB_460K.blood_PLATELET_COUNT	True	2.2387187499079806
endocardial cell	0.0147485773635366	0.0361189649719264	UKB_460K.blood_PLATELET_COUNT	True	2.176777739423901
endothelial cell of lymphatic vessel	0.0199783135342952	0.0479479524823085	UKB_460K.blood_PLATELET_COUNT	True	2.054197016420262
bladder cell	0.0214843615448231	0.0505514389289956	UKB_460K.blood_PLATELET_COUNT	True	2.024013885267284
T cell	0.0325381128696392	0.0750879527760905	UKB_460K.blood_PLATELET_COUNT	True	1.8447341145726757
granulocyte	0.03428267421902	0.0776211491751397	UKB_460K.blood_PLATELET_COUNT	True	1.821273132504784
pulmonary interstitial fibroblast	0.0352206409244709	0.0782680909432688	UKB_460K.blood_PLATELET_COUNT	True	1.809062578949526
microglial cell	0.074004278884214	0.161463881201922	UKB_460K.blood_PLATELET_COUNT	False	1.4466015288816465
epidermal cell	0.08263361601786	0.177072034323986	UKB_460K.blood_PLATELET_COUNT	False	1.3875725924407791
pancreatic stellate cell	0.0932685911566068	0.196354928750751	UKB_460K.blood_PLATELET_COUNT	False	1.3208925856166138
pancreatic ductal cell	0.12920488170502	0.267320444906937	UKB_460K.blood_PLATELET_COUNT	False	1.1301577398001639
plasma cell	0.13895121038584	0.282612631293235	UKB_460K.blood_PLATELET_COUNT	False	1.0850434292316296
type II pneumocyte	0.145523534645784	0.291047069291568	UKB_460K.blood_PLATELET_COUNT	False	1.0558274181330878
adventitial cell	0.242536478471109	0.467005705141875	UKB_460K.blood_PLATELET_COUNT	False	0.6981666873435523
large intestine goblet cell	0.245025009671598	0.467005705141875	UKB_460K.blood_PLATELET_COUNT	False	0.690229269870225
bladder urothelial cell	0.245177995199485	0.467005705141875	UKB_460K.blood_PLATELET_COUNT	False	0.6897427283679707
hepatocyte	0.277808372200564	0.520890697876058	UKB_460K.blood_PLATELET_COUNT	False	0.5893645610388992
mesenchymal stem cell of adipose	0.28991361821456	0.535225141319188	UKB_460K.blood_PLATELET_COUNT	False	0.553637091137655
kidney interstitial fibroblast	0.296690089182937	0.539436525787159	UKB_460K.blood_PLATELET_COUNT	False	0.5339441453014481
regulatory T cell	0.310086405444119	0.555378636616332	UKB_460K.blood_PLATELET_COUNT	False	0.4956054443280753
endothelial cell	0.355854990350835	0.620494035745908	UKB_460K.blood_PLATELET_COUNT	False	0.3695605084359342
kidney collecting duct epithelial cell	0.356784070553897	0.620494035745908	UKB_460K.blood_PLATELET_COUNT	False	0.3670682076883365
oligodendrocyte	0.400178139511215	0.686019667733511	UKB_460K.blood_PLATELET_COUNT	False	0.25288603789424036
fibroblast of cardiac tissue	0.409122407068456	0.689470551778736	UKB_460K.blood_PLATELET_COUNT	False	0.2298030505844457
basal cell	0.413682331067241	0.689470551778736	UKB_460K.blood_PLATELET_COUNT	False	0.21808271832011
basal cell of epidermis	0.422266453541194	0.694136635958126	UKB_460K.blood_PLATELET_COUNT	False	0.1960987085267218
fibroblast of lung	0.459405010208352	0.744981097635165	UKB_460K.blood_PLATELET_COUNT	False	0.10193279306783744
epithelial cell of proximal tubule	0.499641381079459	0.799426209727135	UKB_460K.blood_PLATELET_COUNT	False	0.0008989244471106494
chondrocyte	0.541952872985312	0.855715062608387	UKB_460K.blood_PLATELET_COUNT	False	-0.10535483369538363
bulge keratinocyte	0.595221778906167	0.926117786897972	UKB_460K.blood_PLATELET_COUNT	False	-0.24099828956975136
fibroblast	0.601976561483682	0.926117786897972	UKB_460K.blood_PLATELET_COUNT	False	-0.25846652959795363
enterocyte of epithelium of large intestine	0.650860188939794	0.984627237648405	UKB_460K.blood_PLATELET_COUNT	False	-0.38764383877120545
early pro-B cell	0.65641815843227	0.984627237648405	UKB_460K.blood_PLATELET_COUNT	False	-0.40270713673171926
