Gene	Entrez	Cell group	FDR	Associated	Influence score	Influence score rank	In SFARI
RASL10B	91608	1	0.0493421829057201	True	0.023182486429961468	119.0	False
SCGN	10590	1	0.0493421829057201	True	0.023053529845780386	120.0	True
MEX3D	399664	1	0.0493421829057201	True	0.023019152824425657	121.0	False
ATP8B3	148229	1	0.0493421829057201	True	0.02298766173244553	122.0	False
KIF26A	26153	1	0.0493421829057201	True	0.02289657787760489	123.0	False
VPS37D	155382	1	0.0493421829057201	True	0.022829046529355707	124.0	False
JPH4	84502	1	0.0493421829057201	True	0.02281411770468726	125.0	False
RNF112	7732	1	0.0493421829057201	True	0.02261771570394309	126.0	False
P4HTM	54681	1	0.0493421829057201	True	0.02246497803113768	127.0	False
SRRM4	84530	1	0.0493421829057201	True	0.022316213160341748	128.0	False
FAM171A2	284069	1	0.0493421829057201	True	0.02212915742235646	129.0	False
SEMA4F	10505	1	0.0493421829057201	True	0.02198209478363001	130.0	False
GPC1	2817	1	0.0493421829057201	True	0.021915040411351575	131.0	False
ARHGEF25	115557	1	0.0493421829057201	True	0.02161320638504553	132.0	False
CBARP	255057	1	0.0493421829057201	True	0.021327915601779848	133.0	False
VASH1	22846	1	0.0493421829057201	True	0.02126994749579292	134.0	True
SLC41A3	54946	1	0.0493421829057201	True	0.021052504619664684	135.0	False
SCN2A	6326	1	0.0493421829057201	True	0.02100652689136913	136.0	True
SAPCD1	401251	1	0.0493421829057201	True	0.02094349000698981	137.0	False
GPR63	81491	1	0.0493421829057201	True	0.02090188864903893	138.0	False
FHOD3	80206	1	0.0493421829057201	True	0.020826209316112874	139.0	False
CHRM4	1132	1	0.0493421829057201	True	0.02067609954591475	140.0	False
AVIL	10677	1	0.0493421829057201	True	0.020532764485837404	141.0	False
ELFN2	114794	1	0.0493421829057201	True	0.020496508670014756	142.0	False
CNR1	1268	1	0.0493421829057201	True	0.020157348798377443	143.0	True
ELAVL2	1993	1	0.0493421829057201	True	0.020039891663839376	144.0	True
CDH8	1006	1	0.0493421829057201	True	0.01993236995068902	145.0	True
TMEM14A	28978	1	0.0493421829057201	True	0.019918406581504948	146.0	False
ENHO	375704	1	0.0493421829057201	True	0.019692985656621566	147.0	False
CACNG7	59284	1	0.0493421829057201	True	0.01966288998045342	148.0	False
SYNGR1	9145	1	0.0493421829057201	True	0.01965221932465912	149.0	False
NCS1	23413	1	0.0493421829057201	True	0.019573672101450584	150.0	False
GNG4	2786	1	0.0493421829057201	True	0.019247229440228292	151.0	False
EMB	133418	1	0.0493421829057201	True	0.019159729075327824	152.0	False
MAPK8IP2	23542	1	0.0493421829057201	True	0.018966595198560907	153.0	False
MYRF	745	1	0.0493421829057201	True	0.018850351895204905	154.0	False
KCNT2	343450	1	0.0493421829057201	True	0.01874591975361759	155.0	False
TPGS2	25941	1	0.0493421829057201	True	0.018745455516433064	156.0	False
CCNE1	898	1	0.0493421829057201	True	0.018685118935778382	157.0	False
VASN	114990	1	0.0493421829057201	True	0.018586387606890433	158.0	False
B3GAT1	27087	1	0.0493421829057201	True	0.018560513867255234	159.0	False
PCDHA1	56147	1	0.0493421829057201	True	0.018273219124136954	160.0	True
DLG4	1742	1	0.0493421829057201	True	0.01820273860044065	161.0	True
FAM131A	131408	1	0.0493421829057201	True	0.01808573530735887	162.0	False
ASTN1	460	1	0.0493421829057201	True	0.018036178916847233	163.0	False
LAYN	143903	1	0.0493421829057201	True	0.017826405653320165	164.0	False
CACNG4	27092	1	0.0493421829057201	True	0.017447739364655254	165.0	False
CAMK2A	815	1	0.0493421829057201	True	0.017442603258622763	166.0	True
PPFIA2	8499	1	0.0493421829057201	True	0.017339937675915913	167.0	False
GDAP1	54332	1	0.0493421829057201	True	0.01733669548734478	168.0	False
